College Name,District,Type,Affiliation
Guru Nanak College,Chennai,Private (Aided),University of Madras
Agurchand Manmull Jain College,Chennai,Private (Aided),University of Madras
Ramakrishna Mission Vivekananda College,Chennai,Private (Aided),University of Madras
Anna Adarsh College for Women,Chennai,Private (Aided),University of Madras
Bhaktavatsalam Memorial College for Women,Chennai,Private,University of Madras
Meston College of Education,Chennai,Private,University of Madras
St. Joseph's College of Arts and Science,Chengalpattu,Private,University of Madras
Sacred Heart College Thirupattur,Tirupattur,Private (Aided),Thiruvalluvar University
Voorhees College,Vellore,Private (Aided),Thiruvalluvar University
Auxilium College,Vellore,Private (Aided),Thiruvalluvar University
C. Abdul Hakeem College,Vellore,Private,Thiruvalluvar University
Islamiah College,Vaniyambadi,Private,Thiruvalluvar University
Thanthai Hans Roever College,Perambalur,Private,Bharathidasan University
St. Joseph's College,Tiruchirappalli,Private (Aided),Bharathidasan University
Bishop Heber College,Tiruchirappalli,Private (Aided),Bharathidasan University
Jamal Mohamed College,Tiruchirappalli,Private (Aided),Bharathidasan University
Holy Cross College,Tiruchirappalli,Private (Aided),Bharathidasan University
Seethalakshmi Ramaswami College,Tiruchirappalli,Private (Aided),Bharathidasan University
National College,Tiruchirappalli,Private (Aided),Bharathidasan University
Urumu Dhanalakshmi College,Tiruchirappalli,Private,Bharathidasan University
Khadir Mohideen College,Adirampattinam,Private,Bharathidasan University
PSG College of Arts and Science,Coimbatore,Private (Aided),Bharathiar University
Sri Ramakrishna College of Arts and Science,Coimbatore,Private,Bharathiar University
Nirmala College for Women,Coimbatore,Private (Aided),Bharathiar University
CMS College of Science and Commerce,Coimbatore,Private,Bharathiar University
Kongunadu Arts and Science College,Coimbatore,Private,Bharathiar University
Nallamuthu Gounder Mahalingam College,Pollachi,Private (Aided),Bharathiar University
Sri Krishna Arts and Science College,Coimbatore,Private,Bharathiar University
PSGR Krishnammal College for Women,Coimbatore,Private,Bharathiar University
Sri Ramakrishna College of Arts and Science for Women,Coimbatore,Private,Bharathiar University
Dr. N.G.P. Arts and Science College,Coimbatore,Private,Bharathiar University
Erode Arts and Science College,Erode,Private,Bharathiar University
Vellalar College for Women,Erode,Private (Aided),Bharathiar University
Kandaswami Kandar's College,Namakkal,Private (Aided),Bharathiar University
Thiagarajar College,Madurai,Private (Aided),Madurai Kamaraj University
American College Madurai,Madurai,Private (Aided),Madurai Kamaraj University
Madura College,Madurai,Private (Aided),Madurai Kamaraj University
Lady Doak College,Madurai,Private (Aided),Madurai Kamaraj University
Fatima College,Madurai,Private (Aided),Madurai Kamaraj University
Yadava College,Madurai,Private (Aided),Madurai Kamaraj University
V.H.N. Senthikumara Nadar College,Virudhunagar,Private (Aided),Madurai Kamaraj University
Ayya Nadar Janaki Ammal College,Sivakasi,Private (Aided),Madurai Kamaraj University
Sourashtra College,Madurai,Private (Aided),Madurai Kamaraj University
Devangar College,Madurai,Private,Madurai Kamaraj University
Kamaraj College,Thoothukudi,Private (Aided),Manonmaniam Sundaranar University
Sarah Tucker College,Tirunelveli,Private (Aided),Manonmaniam Sundaranar University
Scott Christian College,Nagercoil,Private (Aided),Manonmaniam Sundaranar University
St. Xavier's College,Palayamkottai,Private (Aided),Manonmaniam Sundaranar University
St. John's College,Palayamkottai,Private (Aided),Manonmaniam Sundaranar University
V.O. Chidambaram College,Thoothukudi,Private (Aided),Manonmaniam Sundaranar University
Nesamony Memorial Christian College,Marthandam,Private (Aided),Manonmaniam Sundaranar University
Holy Cross College Nagercoil,Kanniyakumari,Private (Aided),Manonmaniam Sundaranar University
Cardamom Planters' Association College,Bodinayakanur,Private,Madurai Kamaraj University
Vivekanandha College of Arts and Sciences for Women,Namakkal,Private,Periyar University
Sona College of Arts and Science,Salem,Private,Periyar University
Salem Sowdeswari College,Salem,Private (Aided),Periyar University
A.V.C. College,Mayiladuthurai,Private (Aided),Bharathidasan University
Poompuhar College,Melaiyur,Private,Bharathidasan University
St. Joseph's College of Arts and Science Cuddalore,Cuddalore,Private,University of Madras
